lambda,n_hubs,config,abandonment_pct,avg_queue_wait_min,avg_true_wait_min,matched_riders,avg_earnings,total_earnings,avg_profit_per_hr,avg_idle_time,variance,fairness_cv,cvar,fairness_effect,delta_cvar_cross,delta_profit
2.5,4,lam2_kmean_4,1.8541409147095178,0.09992957068815561,15.130346991418707,36524,116.58694134223938,611731.6812227301,16.674095286772346,2.3990883103624148,1342.8268710788288,0.3143113781649339,29.203848524873838,-0.04764185159486933,-2.7348935002493313,-1.005122953717418
2.6,3,lam3_kmean_3,2.878628608393305,0.15325820814597454,15.344945432445128,36033,118.00797689499315,605026.8975406298,16.85341092667161,2.3416936419120984,1312.1605582157426,0.30696023924787996,30.871230189833707,-0.02371671762457561,-1.0675118352894621,0.41591259903634636
2.6,4,lam3_kmean_4,2.249593936112615,0.12165600312799532,15.393279766638203,36109,118.12842464274877,605762.5615680157,16.86832835426999,2.3231365885812214,1354.4722987719467,0.3115520774045519,30.38300802892277,-0.056727339600654014,-1.5557339962003986,0.536360346791966
2.7,3,lam3_kmean_3,2.6613937580162466,0.14885440398609134,15.283405128578783,36428,117.67393488413049,610374.7002439848,16.801641054963717,2.361118440922161,1357.4461577811933,0.3130985312079313,29.705907216424315,-0.05904747425533663,-2.232834808698854,0.08187058817368609
2.7,4,lam3_kmean_4,2.061215117378502,0.10369884163658596,14.78665240234081,36254,115.79616784391496,608740.4543554609,16.544055204336686,2.484682264616651,1390.7353527137911,0.32205352735769516,27.563266729244706,-0.08501891895041536,-4.375475295878463,-1.7958964520418448
2.8,3,lam3_kmean_3,2.7211792666969314,0.1453471281128174,15.447640015337868,36428,119.03320288189367,610640.3307841145,16.978168903430475,2.2883451938106076,1272.0512615063446,0.29962923604630926,32.667448311414404,0.007575609611207623,0.728706286291235,1.4411385859368693
2.8,4,lam3_kmean_4,1.9278085710423145,0.095000830343138,14.768821480867054,36272,115.59066506610709,608122.4889127894,16.50301665441553,2.497698817256767,1405.9136050768893,0.32438185596257035,27.815796377150242,-0.09686063343507945,-4.1229456479729265,-2.00139922984971
2.9000000000000004,3,lam3_kmean_3,3.1483015741507874,0.16538269896489172,15.322769501384563,36239,118.14748984031083,608105.1302080798,16.870222364251926,2.3358013580057095,1290.8484068882892,0.30409769094494604,32.019995162569785,-0.007089479848029434,0.08125313744661611,0.5554255443540228
2.9000000000000004,4,lam3_kmean_4,1.9756594467081279,0.10321978381557782,15.136130080169105,36567,119.46615682224542,613697.6475958747,17.092615199235468,2.2848363111884833,1286.0350242296854,0.3001798286640136,32.8902200538741,-0.0033341922309122474,0.9514780287509339,1.8740925262886208
3.0,3,lam3_kmean_3,2.7400947459086993,0.1415271000913556,15.441440528095907,36134,118.50261850506675,606140.8936534164,16.930039497545586,2.300137440034861,1285.1266892017559,0.30251368411935503,33.643608271031084,-0.002625530666995335,1.7048662459079154,0.9105542091099466
