param_set,lambda,n_hubs,config,abandonment_pct,avg_queue_wait_min,avg_true_wait_min,matched_riders,avg_earnings,total_earnings,avg_profit_per_hr,avg_idle_ratio,variance,cvar,fairness_effect,delta_cvar_cross,delta_profit
mle,1.9,1,mle_lam1.9_k1,1.608808359389615,0.07424548610993727,13.814919519786544,36817,113.95320886824335,596886.9080518587,16.290502522457636,0.37509005724979083,1459.3613959600875,24.335071475442664,-0.08527390641322641,-6.113198300861821,-2.2494352630493495
mle,1.9,2,mle_lam1.9_k2,1.698729971598521,0.08186383112192112,13.83342963458461,36688,113.86847993680196,595532.1500694742,16.294390874097175,0.37480348155105486,1442.3943999937676,24.969657417679237,-0.07265616961174581,-5.478612358625249,-2.3341641944907394
mle,1.9,3,mle_lam1.9_k3,1.7646745215119688,0.08728915723098554,13.896826275060455,36852,114.17501435337014,597363.6750968326,16.335724780627483,0.3724929801293734,1452.9471827218683,25.587173236779627,-0.08050388969435196,-4.861096539524858,-2.027629777922556
mle,1.9,4,mle_lam1.9_k4,1.8329503553679258,0.08792602697843603,13.936744537938953,36740,115.6131708478618,595639.056208184,16.50675649609662,0.36483172371579753,1374.8412880217672,27.108740626461014,-0.022419381162239738,-3.3395291498434716,-0.5894732834309053
mle,1.9,5,mle_lam1.9_k5,1.5951182956856869,0.07146965623093464,13.897274707539314,36768,114.84392961026995,596269.6825365216,16.42054573678284,0.36851659295692657,1376.0122015882482,27.186323611525218,-0.023290146925870836,-3.2619461647792676,-1.3587145210227476
mle,1.9,6,mle_lam1.9_k6,1.6503158177664294,0.08495172050464408,14.100282408607265,36591,116.42765500172266,592849.6192687717,16.617768592780525,0.3570487951739717,1384.9716066749304,27.05153027412859,-0.02995293010245703,-3.396739502175894,0.22501087042995493
mle,1.9,7,mle_lam1.9_k7,1.5622074204852474,0.07511911750360328,13.767182332681443,36799,116.66886484186801,595711.2238825781,16.66284257847064,0.36186552619932716,1306.740192987926,30.302597233165358,0.028224922327624857,-0.1456725431391277,0.466220710575314
mle,1.9,8,mle_lam1.9_k8,1.7088539997863934,0.07577157500356065,13.681770816424015,36812,111.96222770584696,597654.371493811,15.982589609735417,0.38975330395160296,1516.1654234881578,23.533981424902546,-0.12751699234523173,-6.9142883514019395,-4.240416425445744
mle,1.9,9,mle_lam1.9_k9,1.3686819700398751,0.061395277304033165,13.782496004645894,36608,114.49273432233242,593873.8129299383,16.37553808544118,0.37254375842585663,1378.808797291976,26.233944017568884,-0.025369873272233612,-4.214325758735601,-1.7099098089602762
mle,1.9,10,mle_lam1.9_k10,2.2410012301438735,0.1125536917807231,14.231885423203275,36556,116.18391844609414,590911.4092168348,16.622860327922123,0.3555304092047373,1421.790773239019,27.552233933005947,-0.05733400297344349,-2.896035843298538,-0.018725685198560882
