config,driver_rate,rider_rate,location_model,abandonment_pct,avg_queue_wait_min,avg_true_wait_min,matched_riders,total_riders,avg_earnings,avg_profit_per_hr,avg_idle_time,avg_idle_ratio,variance,fairness_cv,cvar,fairness_effect,delta_profit,delta_cvar
given,3.0,30.0,uniform,22.403914645854623,2.0095618768111523,24.303109977264743,25055,32289,157.65870956987203,22.477169572519035,0.27613294055254994,0.039337371483022764,637.6079982746948,0.16016178876987824,104.88825900329599,0.0,0.0,0.0
mle,4.74,34.6,normal,1.4858364510956708,0.12990648015744294,13.777235501304292,36864,37420,116.2026441312927,16.637661708894466,2.540203413617034,0.3632712964679309,1344.694078919856,0.31557001898954046,30.448269776304485,-1.1089667672903532,-41.45606543857933,-74.4399892269915
