param_set,lambda,n_hubs,config,abandonment_pct,avg_queue_wait_min,avg_true_wait_min,matched_riders,avg_earnings,total_earnings,avg_profit_per_hr,avg_idle_ratio,variance,cvar,fairness_effect,delta_cvar_cross,delta_profit
mle,3.4000000000000004,1,mle_lam3.4000000000000004_k1,1.371955304268603,0.07101651176511121,13.8837589934061,36807,114.94377975621485,596788.1044942675,16.414495048937187,0.36871122896201347,1374.4891331010163,27.819061917988694,-0.022157496376494334,-2.629207858315791,-1.2588643750778488
mle,3.4000000000000004,2,mle_lam3.4000000000000004_k2,2.2690307958938805,0.12672699283342154,14.227040462779982,36654,116.92784289578528,593993.4419105892,16.71185746934057,0.3528242679914806,1371.9580711192807,28.551223645205862,-0.020275237785924327,-1.897046131098623,0.7251987644925748
mle,3.4000000000000004,3,mle_lam3.4000000000000004_k3,2.4845880814496546,0.12413487392711879,14.243062958597589,36540,114.95312489625802,593043.1713397951,16.43670802668996,0.363175557227021,1395.8316776516572,26.34711950413119,-0.03802916926121824,-4.101150272173296,-1.2495192350346827
mle,3.4000000000000004,4,mle_lam3.4000000000000004_k4,1.6846849263621,0.09399861745399221,14.029529513297438,36649,115.36245437266355,593655.1902017266,16.511575526144128,0.3634062339154042,1346.0530730773705,28.26797637033197,-0.0010106344475064866,-2.1802934059725168,-0.8401897586291511
mle,3.4000000000000004,5,mle_lam3.4000000000000004_k5,2.5089797887739236,0.13021907431936863,14.352419178155946,36370,116.4919046769634,588051.1348093112,16.679132918519752,0.3512435860176655,1335.9013325179424,27.81654259500861,0.006538845184011377,-2.631727181295876,0.28926054567070025
mle,3.4000000000000004,6,mle_lam3.4000000000000004_k6,1.5437070446735395,0.07675839406539796,13.773521651975281,36673,114.58813895598675,594597.8530426152,16.383544746670385,0.3723238630417296,1368.0928244128365,26.929726244474477,-0.01740079461923094,-3.5185435318300087,-1.6145051753059505
mle,3.4000000000000004,7,mle_lam3.4000000000000004_k7,1.9451291394277141,0.09775029686586059,14.022371291122191,36598,114.58774549269035,592647.8196881944,16.397265830292124,0.36763892920958746,1404.1696644546837,28.043605431829295,-0.04422982629818839,-2.40466434447519,-1.6148986386023552
mle,3.4000000000000004,8,mle_lam3.4000000000000004_k8,1.2435205328606342,0.06067283616290715,13.869481009209911,36770,114.34245159389722,597210.6246749252,16.32527859170885,0.3731211563766803,1385.0043041329611,27.926959703006606,-0.029977246010843395,-2.5213100732978795,-1.860192537395477
mle,3.4000000000000004,9,mle_lam3.4000000000000004_k9,1.556940691795297,0.08845452592181402,14.073542463762001,36799,116.06501703694525,596574.1875698986,16.593101481308455,0.3588705522384289,1365.6749766924568,29.317881831714814,-0.01560272935049567,-1.1303879445896712,-0.1376270943474509
mle,3.4000000000000004,10,mle_lam3.4000000000000004_k10,1.8572273289254422,0.09089191867977191,14.078475648659579,36515,114.01602532305331,593567.4278318156,16.28933534454062,0.37141370342664953,1457.7543016453928,24.60019212344825,-0.08407876891698218,-5.848077652856237,-2.1866188082393876
