driver_id,arrival_time,online_until,earnings,busy_time,online_duration,busy_time_capped,idle_time,idle_ratio
1,0.0,7.46398788362281,178.29891713176633,8.561453118270947,7.46398788362281,7.46398788362281,0.0,0.0
2,0.3043141845919844,7.718028872287219,185.46858505640944,7.569118191263357,7.413714687695235,7.413714687695235,0.0,0.0
3,0.739535154187984,8.191446511928463,227.59558093288757,8.556062188553996,7.451911357740479,7.451911357740479,0.0,0.0
4,1.4975676038904013,8.209512961192925,176.82620372278998,7.4021340139186815,6.711945357302524,6.711945357302524,0.0,0.0
5,1.9702948864759724,9.595894020990977,225.70023989400318,7.562376510544111,7.625599134515005,7.562376510544111,0.06322262397089329,0.008290840215391719
6,2.951016399130387,10.054830076679359,179.18490520549665,7.493931127500316,7.103813677548972,7.103813677548972,0.0,0.0
7,3.2253879261237692,10.2487428103551,192.1430155067712,7.447063306905051,7.023354884231331,7.023354884231331,0.0,0.0
8,3.4785644269081253,10.621789805847925,186.72740121756857,7.93024560587933,7.1432253789398,7.1432253789398,0.0,0.0
9,3.588056103845009,11.249294919420468,156.2460849133573,8.208008689445816,7.661238815575459,7.661238815575459,0.0,0.0
10,4.705781566983573,11.906815287850879,205.9128429533601,8.290804865961672,7.201033720867306,7.201033720867306,0.0,0.0
11,5.070359643452743,12.48150998848412,170.35458364037837,8.016174303359625,7.411150345031377,7.411150345031377,0.0,0.0
12,5.934887495944495,13.329830419283063,195.54342569533307,8.043914389566138,7.394942923338568,7.394942923338568,0.0,0.0
13,6.31484559318745,12.862098925750782,149.926489677062,6.988340137136037,6.547253332563332,6.547253332563332,0.0,0.0
14,8.265355180406443,16.001468560621344,173.1970813196361,7.679183555981114,7.736113380214901,7.679183555981114,0.05692982423378723,0.007358969735291778
15,8.811859399858925,16.134600621999752,156.64287667169359,7.382060747812358,7.322741222140827,7.322741222140827,0.0,0.0
16,8.880128451562259,16.129455589270787,134.06578693650485,6.930399282550363,7.249327137708528,6.930399282550363,0.31892785515816513,0.04399413202077903
17,9.040518170172033,16.205363486586528,192.54598411552178,7.188164089648324,7.164845316414494,7.164845316414494,0.0,0.0
18,9.500057046240372,15.767016991072259,155.04820193789095,6.561153050036795,6.266959944831887,6.266959944831887,0.0,0.0
19,9.528068926931478,17.0590947249137,176.91576696795929,8.158061583910325,7.53102579798222,7.53102579798222,0.0,0.0
20,9.585753737184945,15.716486052313716,108.89072742603254,5.7602379103990895,6.130732315128771,5.7602379103990895,0.37049440472968165,0.06043232450639132
21,9.808618234552856,16.286210657315934,145.98038444676274,6.688223403835615,6.4775924227630775,6.4775924227630775,0.0,0.0
22,10.008649200030288,16.889296036766986,164.06870668267734,6.878119127095367,6.880646836736698,6.878119127095367,0.0025277096413311995,0.000367365118615799
23,10.327077978546274,17.66854260235794,186.9466344712787,7.243293252512948,7.341464623811667,7.243293252512948,0.09817137129871956,0.013372177941211582
24,10.601072141175068,16.788786710821782,133.13317709741247,5.549519192345078,6.1877145696467135,5.549519192345078,0.6381953773016358,0.10313911059056388
25,11.402341384769848,18.469114642300575,189.27262933748995,7.657945514354802,7.066773257530727,7.066773257530727,0.0,0.0
26,12.082335925830721,20.040298156180338,175.54046836730808,8.106606060513354,7.957962230349617,7.957962230349617,0.0,0.0
27,12.390689867767419,20.035049641400263,203.91372003678015,7.31412462961747,7.644359773632845,7.31412462961747,0.3302351440153748,0.043199843256256955
28,13.023837430347038,20.538457844615916,173.35300416382736,6.38634968815912,7.514620414268878,6.38634968815912,1.1282707261097578,0.15014340896945105
29,13.08261915517399,19.867535527632953,140.4652034172605,6.025311670153489,6.784916372458962,6.025311670153489,0.7596047023054737,0.11195491006916874
30,13.550452972172437,21.0589494915366,158.0915532486974,7.516796478076881,7.5084965193641615,7.5084965193641615,0.0,0.0
31,13.716969013133658,21.611150347350694,213.27903881870637,8.361521109224258,7.894181334217036,7.894181334217036,0.0,0.0
32,13.94553319357401,21.288491490908424,137.60113136888737,6.65069637703659,7.342958297334414,6.65069637703659,0.692261920297824,0.09427561648404345
33,14.279012979152721,21.68129216798767,189.23498349744108,7.587034788392315,7.4022791888349495,7.4022791888349495,0.0,0.0
34,14.658940974602448,21.919435413514762,156.18700955306238,7.023781796101937,7.260494438912314,7.023781796101937,0.23671264281037718,0.03260282681875297
35,14.754117375667894,21.14184351154168,168.18358448082728,6.048559217935041,6.387726135873786,6.048559217935041,0.3391669179387451,0.053096659237465885
36,15.406682954653178,22.22906599064235,146.61168878117508,7.122585410802193,6.822383035989173,6.822383035989173,0.0,0.0
37,15.45313455317783,22.07869053159854,157.44574771483224,6.499349616844272,6.62555597842071,6.499349616844272,0.12620636157643794,0.019048418274253402
38,15.807236369161052,23.16229959692842,146.08687641229028,7.244159854243386,7.355063227767369,7.244159854243386,0.11090337352398283,0.015078507157530932
39,15.962904476209834,22.02639200695581,145.1257078778919,6.9715080129029,6.0634875307459755,6.0634875307459755,0.0,0.0
40,16.14640248298097,23.82661863985937,180.7444225391924,7.7773025158019,7.680216156878398,7.680216156878398,0.0,0.0
