param_set,lambda,n_hubs,config,abandonment_pct,avg_queue_wait_min,avg_true_wait_min,matched_riders,avg_earnings,total_earnings,avg_profit_per_hr,avg_idle_ratio,variance,cvar,fairness_effect,delta_cvar_cross,delta_profit
given,0.0,0,baseline_given,22.403914645854623,2.0095618768111523,24.303109977264743,25055,157.65870956987203,505611.4815905796,22.477169572519035,0.039337371483022764,637.6079982746948,104.88825900329599,0.0,0.0,0.0
mle,0.0,0,baseline_mle,1.4858364510956708,0.12990648015744294,13.777235501304292,36864,116.2026441312927,596468.1723259254,16.637661708894466,0.3632712964679309,1344.694078919856,30.448269776304485,0.0,0.0,0.0
given,1.0,4,given_lam1.0_k4,20.684696812090802,1.8523250681680858,23.83478747298315,25925,154.89141251065928,521364.49451087916,22.13110654008854,0.05527640751128356,644.8822093411065,99.56326434372042,-0.011408594443757192,-5.324994659575566,-2.7672970592127513
given,1.1,4,given_lam1.1_k4,24.028137726767866,2.1481488688716577,24.371313929903923,24624,154.32406460091764,491522.1457539227,22.064944701424814,0.054739201762511965,701.1475689038265,94.04574268436183,-0.09965303258595193,-10.842516318934159,-3.334644968954393
given,1.2,4,given_lam1.2_k4,22.817337461300312,2.0191924940080344,24.398809119918344,24930,155.19272449069015,498634.22378858743,22.15794906334038,0.0485325548958565,698.6653687958652,96.25953365481969,-0.09576004486516121,-8.628725348476294,-2.465985079181877
given,1.3,4,given_lam1.3_k4,21.72238484054845,1.8853769578646105,24.249435162672725,25405,153.98094605411163,511524.7027917588,21.971683790066017,0.057359412533509374,659.9321166596922,96.2784272899949,-0.03501229351796753,-8.60983171330109,-3.677763515760404
given,1.4,4,given_lam1.4_k4,21.976018295321094,1.9283938023925833,24.484907472191185,25247,153.91914492439503,505316.5527867889,22.010387009067525,0.049805079829524763,703.0130106399558,95.50082525507646,-0.10257872006348845,-9.387433748219522,-3.739564645477003
given,1.5,4,given_lam1.5_k4,20.57148164200359,1.7451887598354139,24.281038546845767,25657,153.1832940142084,514389.50129971176,21.902480540917928,0.054353287029071995,668.9892810146088,96.11060541044486,-0.04921720371267102,-8.777653592851124,-4.475415555663631
given,1.6,4,given_lam1.6_k4,23.26544488055135,2.0138740723573885,24.54488667573602,24829,153.90730378354903,498351.8496511318,21.972600702207426,0.054900680312715035,727.986447158576,92.14867458609294,-0.14174610282248112,-12.739584417203048,-3.751405786323005
given,1.7000000000000002,4,given_lam1.7000000000000002_k4,22.60485514855766,1.9097282646245721,24.46981539014313,25059,153.3286233002352,501844.5840616698,21.903855515453962,0.0572229162711502,673.4808408557229,97.49315325627175,-0.05626159439357181,-7.395105747024232,-4.330086269636837
given,1.8,4,given_lam1.8_k4,20.867999503290697,1.801713814182494,24.00791208854241,25490,153.28263042144732,511044.2898251054,21.852251556364333,0.06303298245740677,669.9427819018024,97.07347939577356,-0.05071263803873616,-7.814779607522425,-4.376079148424708
