lambda,n_hubs,config,abandonment_pct,avg_queue_wait_min,avg_true_wait_min,matched_riders,avg_earnings,total_earnings,avg_profit_per_hr,avg_idle_time,variance,fairness_cv,cvar,fairness_effect,delta_cvar_cross,delta_profit
0.0,0,baseline,2.1632357282804153,0.1695186239450131,15.194101829069771,36453,118.38698678572523,612060.7216821994,16.91473950842259,2.340349739370156,1335.8245853253895,0.30872425350590554,29.42674839929983,0.0,0.0,0.0
1.0,3,lam1.0_kmean_3,1.8711911729173938,0.1515344984296922,14.960397277414257,36552,117.69499417016388,612484.7496615328,16.817298729700028,2.393310163049537,1263.9603286681079,0.30207078893932404,33.12712351914953,0.053797674819539565,3.7003751198496992,-0.6919926155613467
1.0,4,lam1.0_kmean_4,1.9909550697101874,0.17721975057381012,15.229563986678308,36625,120.25263024167059,614130.1826442117,17.183128716709952,2.262484644662901,1302.304989071689,0.3000970787344341,33.16045847481004,0.025092812800368902,3.7337100755102135,1.86564345594536
1.1,3,lam1.1_kmean_3,1.9648728847541905,0.15614257169568513,14.995398910063289,36672,118.51197052238852,613773.4953354502,16.914547024728275,2.361207961142668,1336.1044051012614,0.30843096924482827,30.709447525467354,-0.00020947344355382036,1.2826991261675253,0.12498373666329599
1.1,4,lam1.1_kmean_4,2.009310787671233,0.15663405611844758,15.13444860280851,36625,119.06097012831454,613759.3010114614,17.005884961877154,2.31743755627306,1329.7892367524262,0.3062823635229675,32.18890259095391,0.004518069692131976,2.76215419165408,0.6739833425893096
1.2,3,lam1.2_kmean_3,1.8020433884851572,0.15910716788408152,15.219443312528773,36619,120.15132168973518,614574.0104429955,17.15461806405783,2.2717455475301964,1222.1674320840593,0.2909623534170797,37.05290262067066,0.08508389087152846,7.626154221370829,1.7643349040099565
1.2,4,lam1.2_kmean_4,1.6237868645320859,0.13088067209385526,14.898249474536774,36593,117.83988330352571,612413.8735284231,16.839310596183424,2.3877184003558987,1346.0637202374014,0.3113440036341289,31.49229860771057,-0.007665029543918456,2.065550208410741,-0.5471034821995175
1.3,3,lam1.3_kmean_3,1.863420939250323,0.1537458030377701,15.03047679128033,36444,119.56204560210305,608690.3741603066,17.073730856727156,2.309241023760858,1288.2705146291044,0.300199660427017,33.37860766632797,0.035599038390734195,3.9518592670281443,1.1750588163778275
1.3,4,lam1.3_kmean_4,2.2373960919788405,0.1757049714561381,15.291339530894547,36223,120.40164439174345,606944.6893787787,17.213286347451586,2.239457999254806,1249.5446328449395,0.293591493598227,35.50930435139589,0.06458928322496271,6.082555952096062,2.0146576060182184
1.4,3,lam1.4_kmean_3,2.3317166764376696,0.17674098379480052,15.398460021532102,36651,120.52310832972996,614547.3293732931,17.18568018729459,2.2435819408928244,1290.2773497120502,0.29803770670784435,34.29742234814409,0.03409671907052425,4.87067394884426,2.1361215440047374
