lambda,n_hubs,config,abandonment_pct,avg_queue_wait_min,avg_true_wait_min,matched_riders,avg_earnings,total_earnings,avg_profit_per_hr,avg_idle_time,variance,fairness_cv,cvar,fairness_effect,delta_cvar_cross,delta_profit
0.0,0,baseline,3.4372890508977996,0.3056879881097064,24.245860527455136,35762,111.76527027895932,575814.6724771984,15.956747175123155,1.415225459825408,497.36370698566606,0.19954009421800825,66.94773608536174,0.0,0.0,0.0
1.0,3,lam1_kmean_3,3.3680704770090246,0.2678307148319089,24.236962921054307,35978,111.70674837260543,580316.5577956853,15.97050831424514,1.4057804797253763,497.64498201612736,0.19970107574642748,64.55676556435712,-0.0005655318763928552,-2.3909705210046184,-0.05852190635388865
1.0,4,lam1_kmean_4,2.8897236383149987,0.24690966183636126,24.24789654658034,36193,110.6425060287483,583417.9342895898,15.824302938623717,1.4470064259038837,483.03154293173725,0.1986395588776219,66.37072497668471,0.028816264340618347,-0.5770111086770271,-1.12276425021102
1.1,3,lam1_kmean_3,3.2138277409702933,0.2879564034980096,24.133840805913028,36229,113.31708075517263,582789.7463238528,16.180243072220634,1.3437272550995965,447.57652357144633,0.18669740071016935,72.88005798992087,0.10010216410031414,5.9323219045591316,1.551810476213305
1.1,4,lam1_kmean_4,3.4015064197067577,0.29090961759985534,24.291995708374053,36038,112.25459973270472,582264.6088135394,16.043074726793172,1.38397590162491,486.68544288795147,0.19652600802424122,67.60914941927165,0.021469729189593556,0.6614133339099055,0.48932945374539827
1.2,3,lam1_kmean_3,2.9948551313295426,0.2527362526973473,24.270230381416432,35824,111.3108980986499,578037.493826289,15.905328252032676,1.4230059970548488,487.6699653268786,0.1983925308692556,65.25212161460742,0.019490247323307064,-1.6956144707543217,-0.45437218030942006
1.2,4,lam1_kmean_4,3.1145568774228045,0.26879641643991825,24.209515417531737,36240,113.32287533546888,583839.4537283357,16.189783681671678,1.329843040392061,462.2689550668802,0.18972727922180146,70.77143543894107,0.07056154565736594,3.823699353579329,1.5576050565095585
1.3,3,lam1_kmean_3,2.8671422802530624,0.24477381299472734,24.254630610426965,36080,112.17740800338197,582761.6345775693,16.031077374333186,1.380643215622843,452.2230249591739,0.18957057809547453,69.36873864839619,0.09075990345188789,2.421002563034449,0.4121377244226494
1.3,4,lam1_kmean_4,3.9371553985332692,0.3383863996394067,24.30449225172543,35891,116.36674991697049,579506.4145865131,16.609134279308325,1.1908048564739604,468.77687167034,0.18606049989202333,72.62796664282496,0.0574767215898806,5.680230557463219,4.60147963801117
1.4,3,lam1_kmean_3,2.7248833342273238,0.2408580454603827,24.33362049245351,36270,112.89702879587861,585483.9913354265,16.11797991281467,1.3380808071190182,458.8612821722367,0.18973969352960932,68.4308495168731,0.0774130164156489,1.4831134315113559,1.131758516919291
