driver_id,arrival_time,online_until,earnings,busy_time,online_duration,busy_time_capped,idle_time
1,0.0,7.46398788362281,133.1308250028943,7.046741978303092,7.46398788362281,7.046741978303092,0.41724590531971817
2,0.19260391429872428,6.648474239382607,125.13672500786669,6.182018647828538,6.455870325083883,6.182018647828538,0.27385167725534565
3,0.31012663428788345,8.159513870845009,145.55692665684163,7.279359123791863,7.849387236557126,7.279359123791863,0.5700281127652627
4,0.7528130703977978,7.31688221554041,141.44363510960648,6.308458450602467,6.5640691451426125,6.308458450602467,0.2556106945401453
5,0.7940226265244743,7.538058798110041,125.49777120420512,6.848180010770626,6.744036171585567,6.744036171585567,0.0
6,1.1100467833480159,7.200939544030932,92.68057045173036,5.651886731865465,6.090892760682916,5.651886731865465,0.43900602881745066
7,1.1796338563224376,7.7986890888950935,112.91738278710496,5.722405499113932,6.619055232572656,5.722405499113932,0.896649733458724
8,1.5342556216152639,7.876030796395396,120.64995711129959,5.785002954671218,6.341775174780132,5.785002954671218,0.5567722201089138
9,1.7672850728139524,8.484946041060958,154.19342457178283,7.002849676624908,6.717660968247006,6.717660968247006,0.0
10,2.209732892918242,9.258513431573402,124.72981665622613,6.354235983359365,7.04878053865516,6.354235983359365,0.6945445552957956
11,2.3323450177679423,8.851191884630527,117.9347235376268,6.177180698008448,6.518846866862585,6.177180698008448,0.3416661688541369
12,2.4330918127275494,9.87118362309604,124.86942676044795,6.932668158063318,7.438091810368491,6.932668158063318,0.5054236523051738
13,2.5074739940789312,8.877739851756171,110.16241103961919,5.654137511385024,6.37026585767724,5.654137511385024,0.7161283462922166
14,2.6721722738577784,9.132189948433185,111.83059318610363,6.10169989120733,6.460017674575406,6.10169989120733,0.35831778336807574
15,2.6992772880923024,10.577412685118095,132.41054983279562,6.153822224182826,7.878135397025792,6.153822224182826,1.7243131728429661
16,3.0375415334558307,9.202303624687517,93.27369129075453,5.103211222548622,6.164762091231686,5.103211222548622,1.0615508686830637
17,3.2782579513328858,11.021825084517289,130.71918973458926,6.163764730127823,7.743567133184403,6.163764730127823,1.57980240305658
18,3.330463469936378,11.06700848075314,131.6309037787069,6.89800253426492,7.736545010816762,6.89800253426492,0.8385424765518419
19,3.6044936342439495,10.738526156217285,110.87610959656027,5.38352241832308,7.134032521973335,5.38352241832308,1.7505101036502548
20,3.887431774719194,10.81784299928663,118.35537608771226,5.698623150953273,6.930411224567435,5.698623150953273,1.2317880736141618
21,3.9005176066776786,10.302384983995792,116.03753668029569,5.4563614919083445,6.401867377318113,5.4563614919083445,0.9455058854097684
22,4.062437316809841,10.224275882912345,105.47029807600256,4.885444567697757,6.161838566102504,4.885444567697757,1.276393998404747
23,4.171256929624672,12.1386147801515,120.23609474072023,6.177111775129241,7.967357850526827,6.177111775129241,1.7902460753975866
24,4.228927523919428,11.613250207307694,103.43133534752549,5.879312003071482,7.384322683388265,5.879312003071482,1.5050106803167829
25,4.242496398138738,11.870436937150775,130.5872289817114,5.721909467929713,7.6279405390120365,5.721909467929713,1.9060310710823236
26,4.443990507130272,10.744328508764355,107.65986446713072,5.7570500635757,6.300338001634082,5.7570500635757,0.5432879380583824
27,4.726111165177265,10.79333836554383,70.27027864288321,4.719729066232246,6.067227200366565,4.719729066232246,1.3474981341343186
28,4.7397613659179045,11.434448018435589,111.00345139378824,5.9054817769699826,6.694686652517684,5.9054817769699826,0.7892048755477017
29,5.22518751296618,12.493471789557653,108.07305735165983,4.869220981900462,7.268284276591473,4.869220981900462,2.399063294691011
30,5.253663854143611,11.320042563268464,89.65523140692274,4.521698395254467,6.066378709124852,4.521698395254467,1.5446803138703853
