param_set,lambda,n_hubs,config,abandonment_pct,avg_queue_wait_min,avg_true_wait_min,matched_riders,avg_earnings,total_earnings,avg_profit_per_hr,avg_idle_ratio,variance,cvar,fairness_effect,delta_cvar_cross,delta_profit
mle,3.0,1,mle_lam3.0_k1,2.0372105474501403,0.09968657706157813,14.17686961330614,36594,115.18420276834446,591931.6180265222,16.496049755827094,0.3610018732983354,1404.6715286954689,26.337654224545798,-0.04460304445141183,-4.110615551758688,-1.0184413629482378
mle,3.0,2,mle_lam3.0_k2,1.8513585508790624,0.07998792251712286,14.018301929692862,36845,115.33451542257588,594895.4305496464,16.470149184664205,0.3638242294429829,1359.164387856698,29.330837088518326,-0.010761041610643174,-1.1174326877861596,-0.8681287087168243
mle,3.0,3,mle_lam3.0_k3,1.7243687578654243,0.08163048667237684,13.853547575318142,36703,114.93709939948702,595489.1119887423,16.43576331073143,0.36927924300591075,1397.6183500380098,27.73897069988864,-0.03935785242742029,-2.7092990764158458,-1.2655447318056758
mle,3.0,4,mle_lam3.0_k4,1.4744984288131497,0.07579028800316537,13.988172095301195,36684,114.73330747773525,594089.0661197131,16.420102203004976,0.36752772554243385,1379.2374094869597,29.101789822456865,-0.025688616547528076,-1.34647995384762,-1.4693366535574484
mle,3.0,5,mle_lam3.0_k5,1.7779681893643227,0.08850644240817869,14.01317126938166,36682,114.10715336379913,594726.483332121,16.320762446580762,0.3704896647331512,1423.7744076773504,26.659926131545795,-0.058809159642479125,-3.7883436447586902,-2.0954907674935725
mle,3.0,6,mle_lam3.0_k6,1.858319780307676,0.08797131723742452,13.938802613483517,36810,113.71260189118141,595285.4709003347,16.284189700189078,0.37341344838575735,1438.294659886431,25.197357564067136,-0.0696073422452792,-5.250912212237349,-2.4900422401112934
mle,3.0,7,mle_lam3.0_k7,1.7552334943639292,0.08377579311261102,13.97027747338357,36606,115.1723601462107,594174.205994301,16.454017346943285,0.36611347892825363,1404.1065610602666,27.308905548665273,-0.04418289860258362,-3.139364227639213,-1.0302839850819936
mle,3.0,8,mle_lam3.0_k8,1.5523794229430974,0.07562443901743561,13.80574490766226,36782,114.19909360112474,595890.8704106689,16.33022254261482,0.3735320899361012,1426.8968358951488,24.545368984515456,-0.061131195759650536,-5.90290079178903,-2.0035505301679564
mle,3.0,9,mle_lam3.0_k9,2.3377455166524337,0.10693667852099387,14.226742580134085,36596,116.25509747803342,592319.7216505803,16.617479359738383,0.35531315136211183,1363.0112865486833,29.837876782475654,-0.013621840027391752,-0.6103929938288317,0.05245334674071955
mle,3.0,10,mle_lam3.0_k10,1.955120489983685,0.08699015357545228,13.998479798965851,36658,115.81673268575933,594718.9223413742,16.540419535924666,0.36277080474504686,1345.1529510724008,29.63714799206521,-0.0003412465033780787,-0.8111217842392762,-0.38591144553336676
