param_set,lambda,n_hubs,config,abandonment_pct,avg_queue_wait_min,avg_true_wait_min,matched_riders,avg_earnings,total_earnings,avg_profit_per_hr,avg_idle_ratio,variance,cvar,fairness_effect,delta_cvar_cross,delta_profit
given,4.1,1,given_lam4.1_k1,24.386786638727965,1.3015103392333245,25.2201971247147,24538,148.91719121909685,496936.66709812614,21.309206363073958,0.06016283940525857,636.6099626827297,94.29050791324362,0.0015652808538563212,-10.59775109005237,-8.74151835077518
given,4.1,2,given_lam4.1_k2,24.321319373668118,1.2803324402803233,25.60300696356517,24504,148.23783792391308,494817.90299002186,21.221636214407336,0.054831887040626616,654.841616784807,92.3756397727213,-0.02702854819378797,-12.512619230574686,-9.420871645958954
given,4.1,3,given_lam4.1_k3,27.070725879030505,1.35113303049174,26.09691052994947,23500,148.6281096466122,474718.18221127935,21.245519217950797,0.049787044466367815,638.1783572555884,93.65304075474914,-0.0008945292129913796,-11.235218248546843,-9.030599923259842
given,4.1,4,given_lam4.1_k4,26.76604018146468,1.4181592695976228,26.592744158362905,23730,148.58289717956922,474722.35648872366,21.172080064090146,0.0418419601042404,598.0409559113635,94.83934026008549,0.06205543605223862,-10.048918743210493,-9.075812390302815
given,4.1,5,given_lam4.1_k5,28.35022870564965,1.5038001870009092,26.604956742590943,23183,148.20374767169105,466693.60141815507,21.165644531289878,0.04611183163639839,639.3965828033278,90.6739133745303,-0.002805147572603861,-14.214345628765685,-9.454961898180983
given,4.1,6,given_lam4.1_k6,25.13642669955295,1.3239125322693195,26.355425058180646,24282,148.76864358088963,490490.21788619313,21.263303131225552,0.042968205006844694,604.5346240492302,97.16410505801602,0.05187101528675597,-7.724153945279966,-8.8900659889824
given,4.1,7,given_lam4.1_k7,24.17409543786051,1.2371604771401001,25.699143274811256,24582,148.29650913213925,495458.63701047725,21.17857484887315,0.05430563256744058,646.48617920521,93.12305456166494,-0.013924199436861961,-11.765204441631042,-9.362200437732781
given,4.1,8,given_lam4.1_k8,25.016926201760327,1.288170170856237,25.82730728876718,24365,148.54195884020757,489297.21241964377,21.185433868760153,0.05378308104821938,625.7946833243144,93.40549590380863,0.018527551383210383,-11.482763099487357,-9.11675072966446
given,4.1,9,given_lam4.1_k9,26.83798607259506,1.3970754311332347,26.132226937920883,23744,149.0381035471688,480200.76962897787,21.284895361965663,0.04868323960673196,617.5809069363241,95.78069144887517,0.03140972414486953,-9.107567554420811,-8.620606022703242
given,4.1,10,given_lam4.1_k10,27.140125817195017,1.4065628065191178,26.469035979719457,23627,148.16855132696807,474732.0384516057,21.167843045275053,0.046846445558560074,622.0768027596223,93.92782985653693,0.024358533075335198,-10.960429146759054,-9.49015824290396
