driver_id,arrival_time,online_until,earnings,busy_time,online_duration,busy_time_capped,idle_time,idle_ratio
1,0.0,7.46398788362281,160.52057953400487,7.065148838049908,7.46398788362281,7.065148838049908,0.3988390455729016,0.05343511428361488
2,0.19260391429872428,6.754472933673485,151.19412484489337,6.091848891456673,6.561869019374761,6.091848891456673,0.47002012791808845,0.07162900181797192
3,0.3576686997855905,6.538248239894407,133.8809966974198,6.20027530867141,6.180579540108816,6.180579540108816,0.0,0.0
4,0.7381844791624463,8.665424433340952,170.98478060858977,6.385657331169291,7.927239954178506,6.385657331169291,1.541582623009215,0.19446650182408512
5,1.1426965081032519,7.886732679688818,179.33649662751725,7.147021501639601,6.744036171585567,6.744036171585567,0.0,0.0
6,1.4587206649267934,7.681115629539096,136.6986274084002,5.629955875458706,6.2223949646123025,5.629955875458706,0.5924390891535962,0.09521078178464829
7,1.6018652027691889,8.220920435341844,137.8816224199349,5.662089909565415,6.619055232572655,5.662089909565415,0.9569653230072399,0.14457732854350158
8,1.9564869680620152,9.568889527648137,180.0074498387629,6.568175557385993,7.612402559586122,6.568175557385993,1.0442270022001292,0.13717443264809456
9,2.2474906052380295,9.068284259217354,149.28620402237368,5.936742925108498,6.820793653979324,5.936742925108498,0.8840507288708261,0.12961112353179918
10,3.099524817477675,11.069207215402344,129.62718430347886,6.1501075867263575,7.969682397924668,6.1501075867263575,1.8195748111983105,0.22831208577046105
11,3.4846974146967558,9.535470126017445,102.33807595931482,5.196155337208927,6.05077271132069,5.196155337208927,0.8546173741117631,0.14124103067246555
12,3.52051674028737,9.574708725294336,66.34075599222521,2.728086638779825,6.054191985006966,2.728086638779825,3.3261053462271413,0.549388812654793
13,3.5734688444786578,10.162400363562494,136.16385128787635,4.632180421731126,6.588931519083836,4.632180421731126,1.9567510973527096,0.2969754795121604
14,4.199052646409502,12.088516690992321,98.00079123343585,3.649395451503546,7.8894640445828195,3.649395451503546,4.240068593079274,0.5374343008750578
15,4.3319613896798375,11.72400262578742,59.90423651873409,2.272208103190394,7.392041236107583,2.272208103190394,5.119833132917189,0.6926142548973567
16,4.367217272547666,11.814057499924836,163.8397671296806,7.005768959514641,7.446840227377169,7.005768959514641,0.4410712678625286,0.05922931799194476
17,4.5117177965809265,11.775344850614264,169.29287794508733,6.108152062621155,7.263627054033337,6.108152062621155,1.1554749914121825,0.15907686102504007
18,4.57518608708939,10.666670154714417,119.44966985145469,4.9457276978047755,6.091484067625027,4.9457276978047755,1.1457563698202513,0.18809149906665742
19,5.008121286430511,12.950911474513791,60.03679710654484,2.4120464573498284,7.94279018808328,2.4120464573498284,5.530743730733452,0.6963225264380434
20,5.050240074353541,11.377287819523586,120.87667929631252,5.451729049753679,6.327047745170045,5.451729049753679,0.8753186954163663,0.13834551763649466
21,5.154896383712924,11.787208593666424,139.0353438469075,5.724492663128496,6.632312209953501,5.724492663128496,0.9078195468250048,0.13687828891145784
22,5.304204928812363,13.303032380353695,161.72466321868112,6.079182050152618,7.998827451541332,6.079182050152618,1.9196454013887134,0.2399908502862889
23,5.314629612123397,13.056136512797917,132.06430754859028,5.422764364157887,7.741506900674519,5.422764364157887,2.3187425365166323,0.2995208253724607
