lambda,n_hubs,config,abandonment_pct,avg_queue_wait_min,avg_true_wait_min,matched_riders,avg_earnings,total_earnings,avg_profit_per_hr,avg_idle_time,variance,fairness_cv,cvar,fairness_effect,delta_cvar_cross,delta_profit
0.0,0,baseline,3.4372890508977996,0.3056879881097064,24.245860527455136,35762,111.76527027895932,575814.6724771984,15.956747175123155,1.415225459825408,497.36370698566606,0.19954009421800825,66.94773608536174,0.0,0.0,0.0
1.0,1,lam1_kmean_1,3.485738933520246,0.2995591858992612,24.32864789500817,35801,113.22454673141584,578464.2092508036,16.170329927839123,1.335808796973274,472.15494711923935,0.19191180116586987,70.15727044355488,0.0506847594875941,3.209534358193139,1.4592764524565212
1.0,2,lam1_kmean_2,3.4203226414586196,0.27995464647037877,24.246461792825098,35861,112.22359447912359,580420.4306460272,16.05597809393924,1.3828374501359384,462.3932206231513,0.1916114926991999,69.4400906725827,0.070311697197324,2.4923545872209587,0.4583242001642702
1.0,3,lam1_kmean_3,3.3680704770090246,0.2678307148319089,24.236962921054307,35978,111.70674837260543,580316.5577956853,15.97050831424514,1.4057804797253763,497.64498201612736,0.19970107574642748,64.55676556435712,-0.0005655318763928552,-2.3909705210046184,-0.05852190635388865
1.0,4,lam1_kmean_4,2.8897236383149987,0.24690966183636126,24.24789654658034,36193,110.6425060287483,583417.9342895898,15.824302938623717,1.4470064259038837,483.03154293173725,0.1986395588776219,66.37072497668471,0.028816264340618347,-0.5770111086770271,-1.12276425021102
1.0,5,lam1_kmean_5,3.7003246840368154,0.3176931465888364,24.225715300144252,35888,114.20703479075414,578001.8030760067,16.32985559108527,1.2799402029028182,486.61085270593964,0.19315147963972754,67.23549123354013,0.021619700289141397,0.2877551481783911,2.4417645117948155
1.0,6,lam1_kmean_6,3.1417830290010738,0.29164863184587725,24.24567771718741,36070,112.91415871403937,581169.1749011606,16.152938787483635,1.3390501545630227,471.5383235261212,0.1923136428517809,66.92659991342666,0.05192454354191378,-0.021136171935083325,1.1488884350800532
1.0,7,lam1_kmean_7,3.2980357287203943,0.29104795630876673,24.15717142996186,35889,112.76788651136656,579063.0972358673,16.108830041843852,1.3670818111687497,468.6734429885066,0.19197723468717032,69.38497069335726,0.057684675407942976,2.4372346079955207,1.0026162324072345
1.0,8,lam1_kmean_8,3.3062301437725483,0.3010651471103336,24.280600795682172,35914,114.31348698035353,579569.3789903924,16.303833126259082,1.2940720586809398,492.0922826741699,0.1940554322450476,67.87301897433602,0.0105987313458078,0.9252828889742801,2.5482167013942103
1.0,9,lam1_kmean_9,3.4404598073342507,0.28884789218522844,24.196953776538695,35784,113.213209764017,578632.7151038909,16.168378188988044,1.3504086285819021,473.76791188014215,0.19225857450411307,69.48294993214041,0.0474417308181353,2.5352138467786745,1.447939485057674
