param_set,lambda,n_hubs,config,abandonment_pct,avg_queue_wait_min,avg_true_wait_min,matched_riders,avg_earnings,total_earnings,avg_profit_per_hr,avg_idle_ratio,variance,cvar,fairness_effect,delta_cvar_cross,delta_profit
given,0.0,0,baseline_given,22.403914645854623,2.0095618768111523,24.303109977264743,25055,157.65870956987203,505611.4815905796,22.477169572519035,0.039337371483022764,637.6079982746948,104.88825900329599,0.0,0.0,0.0
mle,0.0,0,baseline_mle,1.4858364510956708,0.12990648015744294,13.777235501304292,36864,116.2026441312927,596468.1723259254,16.637661708894466,0.3632712964679309,1344.694078919856,30.448269776304485,0.0,0.0,0.0
given,1.0,4,given_lam1.0_k4,26.55946171178123,1.3460529380047228,26.892711946868406,23794,147.39121036942677,476810.5655450956,21.057674284293103,0.040826742297938826,629.9180456746932,90.92853863675305,0.012060627565541604,-13.959720366542939,-10.267499200445258
given,1.1,4,given_lam1.1_k4,26.228495536955247,1.2826691289567178,25.748046604842923,23885,147.80055174296012,481090.79592333524,21.07178366163458,0.05818825418014942,637.6268282969362,93.37983348450632,-2.953228675361963e-05,-11.508425518789664,-9.858157826911906
given,1.2,4,given_lam1.2_k4,23.778642455685254,1.1872231793901427,25.80821956010102,24682,147.62675808497454,496321.1606816844,21.126143821149743,0.05245319869479824,647.5762339108195,93.66465229336244,-0.015633799549406246,-11.223606709933549,-10.03195148489749
given,1.3,4,given_lam1.3_k4,29.365006007948978,1.5139631623440748,27.083566648231578,22926,147.028250698541,460639.50943852897,21.029002432498256,0.044443345252550816,621.3654237098675,93.00475860308231,0.02547423277119809,-11.883500400213677,-10.63045887133103
given,1.4,4,given_lam1.4_k4,27.04684192766649,1.3263547975613588,26.354208235791035,23782,147.85144848439464,480369.3561257982,21.17027101860537,0.04845654114582114,612.5694822182222,93.77078987037066,0.039269451017277524,-11.117469132925322,-9.807261085477393
given,1.5,4,given_lam1.5_k4,25.720805451910326,1.2992589671061792,26.394631511820634,24088,147.141175951781,484977.3159370702,21.00832860725733,0.051839850250523976,639.6694071584221,89.51634271008729,-0.0032330348573188505,-15.371916293208699,-10.517533618091022
given,1.6,4,given_lam1.6_k4,27.217466815531573,1.4353403154418276,27.00942532470867,23468,148.209499770579,470565.16177158826,21.15269119210577,0.037526003196480424,575.4905263694689,96.7680577724585,0.09742266733370619,-8.12020123083748,-9.449209799293044
given,1.7000000000000002,4,given_lam1.7000000000000002_k4,24.797426857178202,1.2451675093600123,25.794233114105236,24316,147.98672945667172,489392.1143132134,21.12305779386426,0.05322523121893555,645.1200661924586,92.85079842573899,-0.01178164003288984,-12.037460577556999,-9.671980113200306
given,1.8,4,given_lam1.8_k4,26.27418412229707,1.2995497031112295,25.964737337192318,23969,148.2365633625293,483102.95999848295,21.135998907930883,0.0522649046492086,613.1707272291899,94.95644415455212,0.03832648133591443,-9.931814848743869,-9.422146207342735
