lambda,n_hubs,config,abandonment_pct,avg_queue_wait_min,avg_true_wait_min,matched_riders,avg_earnings,total_earnings,avg_profit_per_hr,avg_idle_time,avg_idle_ratio,variance,fairness_cv,cvar,fairness_effect,delta_cvar_cross,delta_profit
0.0,0,baseline,1.4858364510956708,0.12990648015744294,13.777235501304292,36864,116.2026441312927,596468.1723259254,16.637661708894466,2.540203413617034,0.3632712964679309,1344.694078919856,0.31557001898954046,30.448269776304485,0.0,0.0,0.0
1.0,3,lam1.0_kmean_3,2.0207944548120502,0.08895728626859599,14.18840319299126,36752,117.77709836785694,596894.3345282989,16.854800664274002,2.43018916823979,0.3632712964679309,1325.1333976661049,0.30907860919152097,31.689383637489648,0.014546566063162514,1.2411138611851626,1.574454236564236
1.0,4,lam1.0_kmean_4,1.5591037166241781,0.0852976776738878,13.806015759087543,36684,113.16176864510439,597041.4913715707,16.179477065203525,2.664297166889863,0.3632712964679309,1447.9338865192915,0.33625955934333057,26.35915400818942,-0.07677568394021939,-4.0891157681150645,-3.0408754861883125
1.1,3,lam1.1_kmean_3,1.8218785949329839,0.08754690059329615,14.196414134693532,36698,117.14009712610564,594251.712720734,16.739968579989714,2.458795226089935,0.3632712964679309,1302.158555745369,0.308053646931563,33.184395752413025,0.03163211903829777,2.7361259761085392,0.9374529948129435
1.1,4,lam1.1_kmean_4,1.5675401882114581,0.08151322302373604,14.011781617748685,36923,114.94321858008502,599658.7713323035,16.467989465762617,2.55122503580383,0.3632712964679309,1370.9025298510894,0.3221216648885144,29.273469822337578,-0.01949027019757943,-1.1747999539669074,-1.2594255512076842
1.2,3,lam1.2_kmean_3,2.3149264528574873,0.10804175866299424,14.234661242953067,36459,117.88796925935044,590147.1741123083,16.860642626634615,2.421304830365423,0.3632712964679309,1361.8915467150946,0.31304139880263043,29.855019764665872,-0.01278913030468054,-0.593250011638613,1.685325128057741
1.2,4,lam1.2_kmean_4,1.9058565662505682,0.09274732262666603,14.159913109147215,36698,116.23975746167352,595147.5582037685,16.611475500009668,2.50145697506799,0.3632712964679309,1363.9335550464893,0.3177180671378196,30.000152242429607,-0.014307697511457551,-0.4481175338748784,0.03711333038081932
1.3,3,lam1.3_kmean_3,1.4815414507772022,0.0653833149178156,13.96486895657655,36507,114.93329950201439,592940.8921308923,16.44157210596167,2.5692079484002215,0.3632712964679309,1430.559491001433,0.3290842420356013,26.164180635592427,-0.06385497893360936,-4.284089140712059,-1.269344629278308
1.3,4,lam1.3_kmean_4,1.7359058418874616,0.08385898930990927,13.845107789934051,36568,114.29871563209338,593096.0354149325,16.33438973642477,2.616278564210245,0.3632712964679309,1435.2592776756853,0.331454432497775,26.336137332649272,-0.06735003907251302,-4.112132443655213,-1.9039284991993242
1.4,3,lam1.4_kmean_3,1.3436164781124875,0.0648621306825835,13.815511247598026,36713,115.58719189915942,594927.2767049735,16.540100691665454,2.5577732466512386,0.3632712964679309,1359.4071256536781,0.3189811783267444,29.461690130352427,-0.0109415568674478,-0.9865796459520588,-0.6154522321332792
