driver_id,arrival_time,online_until,earnings,busy_time,online_duration,busy_time_capped,idle_time
1,0.0,7.46398788362281,152.39703978948623,7.050531902241118,7.46398788362281,7.050531902241118,0.41345598138169226
2,0.19260391429872428,6.648474239382607,128.77390822452068,6.232175571742753,6.455870325083883,6.232175571742753,0.22369475334112998
3,0.31012663428788345,8.159513870845009,138.1776183693333,6.845313444048932,7.849387236557126,6.845313444048932,1.0040737925081942
4,0.7528130703977978,8.633273553247713,152.86935829206402,6.900682013355322,7.880460482849916,6.900682013355322,0.9797784694945939
5,0.9335688606040308,8.471543690965051,162.73769564914565,7.230140745982633,7.53797483036102,7.230140745982633,0.30783408437838755
6,1.5445755447547556,8.93787719250854,141.75187626149628,6.065860722469728,7.393301647753784,6.065860722469728,1.3274409252840558
7,2.0841260421905417,9.808211344169168,154.31980274171124,5.482543839267869,7.724085301978626,5.482543839267869,2.2415414627107566
8,2.476832217992035,8.877881671392709,115.98386454630516,5.3584728678396205,6.401049453400674,5.3584728678396205,1.0425765855610534
9,2.6195486765172102,9.936964227518963,115.00999202827869,4.991393400781293,7.317415551001753,4.991393400781293,2.32602215022046
10,2.7650223281466264,9.304521551180606,123.02111983240405,5.498936899381096,6.53949922303398,5.498936899381096,1.0405623236528836
11,2.7774234055158167,9.409735615469318,147.80815949977764,6.248687989438406,6.632312209953501,6.248687989438406,0.38362422051509437
12,2.9267319506152565,9.401820212363912,111.39392974003866,4.572148256907029,6.475088261748656,4.572148256907029,1.9029400048416267
13,3.0252995456681417,10.928106230081456,109.70122678361298,4.869514238088211,7.902806684413314,4.869514238088211,3.0332924463251025
14,3.219461660173168,9.412814559466607,111.94852767411518,4.781767320748197,6.193352899293439,4.781767320748197,1.4115855785452416
15,3.3457299424191342,10.14305599796376,140.84178797764713,4.841134173271585,6.797326055544626,4.841134173271585,1.9561918822730409
16,3.379118573441341,10.11463727519592,127.86878639288783,5.233153697765052,6.735518701754579,5.233153697765052,1.502365003989527
17,3.4919153950911586,10.810623239502725,61.98485825657828,2.6327814551516133,7.318707844411566,2.6327814551516133,4.6859263892599525
18,3.9676362596605723,11.841281183726757,116.42495125471642,5.050865084548481,7.873644924066184,5.050865084548481,2.822779839517703
19,3.9789596432672862,11.680191758949562,99.30128394150594,4.648561660074124,7.701232115682275,4.648561660074124,3.052670455608151
20,4.152749408059859,11.230153003965288,78.5400478222804,3.1659559398186747,7.077403595905429,3.1659559398186747,3.9114476560867546
21,4.29806201123473,11.216592405581158,113.26156058414497,3.997707652593486,6.918530394346428,3.997707652593486,2.920822741752942
22,4.3914908711897,10.427503982390608,135.49867143342397,5.495990336171679,6.036013111200908,5.495990336171679,0.5400227750292288
23,5.085947616429446,12.327268576078614,73.8351439502143,2.8464985320249747,7.241320959649168,2.8464985320249747,4.394822427624193
24,5.133370619084675,13.02145480673547,55.17812128450307,1.9825588226146842,7.8880841876507946,1.9825588226146842,5.905525365036111
25,5.1673586834759435,11.58876861121035,65.8074784983391,2.242531197834558,6.421409927734406,2.242531197834558,4.178878729899848
26,5.833398529245987,12.089132131690821,75.62504680986802,2.8446257816424434,6.255733602444834,2.8446257816424434,3.4111078208023904
